SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.48
HB_BUSAVG,2017,0.36
HB_BUSAVG,2018,0.48
HB_BUSAVG,2019,0.60
HB_HOUSTON,2016,0.50
HB_HOUSTON,2017,0.41
HB_HOUSTON,2018,0.47
HB_HOUSTON,2019,0.60
HB_HUBAVG,2016,0.49
HB_HUBAVG,2017,0.38
HB_HUBAVG,2018,0.49
HB_HUBAVG,2019,0.61
HB_NORTH,2016,0.46
HB_NORTH,2017,0.34
HB_NORTH,2018,0.48
HB_NORTH,2019,0.61
HB_PAN,2019,1.07
HB_SOUTH,2016,0.52
HB_SOUTH,2017,0.37
HB_SOUTH,2018,0.47
HB_SOUTH,2019,0.59
HB_WEST,2016,0.53
HB_WEST,2017,0.53
HB_WEST,2018,0.71
HB_WEST,2019,0.80
